red;green;blue;Column
17;71;185;PSP
120;136;194;mustRunTotal
120;236;194;mustRunPartial
220;236;94;mustRun
22;106;87;MISC. NDG
116;205;185;WIND
242;116;6;SOLAR
245;179;0;NUCLEAR
243;10;10;GAS
172;140;53;COAL
135;86;39;LOAD
39;114;178;H. STOR
180;130;43;LIGNITE
131;86;162;OIL
127;84;156;MIX. FUEL
173;255;47;MISC. DTG
61;96;125;H. ROR
84;151;208;H. STOR
101;180;197;netLoad
1;1;1;AVL DTG
51;255;51;MISC. DTG 2
102;255;51;MISC. DTG 3
102;204;51;MISC. DTG 4
0;204;0;RENW. 1
0;220;0;RENW. 2
0;236;0;RENW. 3
0;252;0;RENW. 4
116;205;209;WIND OFFSHORE
116;205;225;WIND ONSHORE
255;116;6;SOLAR CONCRT.
255;132;6;SOLAR PV
255;148;6;SOLAR ROOFT
